species,version,M_method,NWP,GOA,BC,WC,multi_region
pacific sleeper_shark,1,amax,NA,NA,NA,NA,0.054000000000000006
pacific sleeper_shark,2,amax,NA,NA,NA,NA,0.013775510204081633
pacific sleeper_shark,3,amax,NA,NA,NA,NA,0.010546875
pacific sleeper_shark,4,amax,NA,NA,NA,NA,0.01985294117647059
pacific sleeper_shark,1,fishlife,0.14795113733491355,0.14795113733491355,0.14795113733491355,0.14795113733491355,0.14795113733491355
pacific sleeper_shark,1,frisk_tmat,NA,NA,NA,NA,0.014182385477237271
pacific sleeper_shark,2,frisk_tmat,NA,NA,NA,NA,0.01643925694558606
pacific sleeper_shark,3,frisk_tmat,NA,NA,NA,NA,0.012470382840753209
salmon shark,1,amax,NA,NA,NA,NA,0.27
salmon shark,2,amax,NA,NA,NA,NA,1.08
salmon shark,1,fishlife,0.04692093805813822,0.04692093805813822,0.04692093805813822,0.04692093805813822,0.04692093805813822
salmon shark,1,frisk_tmat,0.15948963317384368,NA,NA,NA,0.15948963317384368
salmon shark,2,frisk_tmat,0.17152658662092624,NA,NA,NA,0.17152658662092624
spiny dogfish,1,amax,NA,0.1125,0.07714285714285715,0.06136363636363637,NA
spiny dogfish,2,amax,NA,NA,0.06666666666666667,0.06617647058823531,NA
spiny dogfish,3,amax,NA,NA,0.05046728971962617,NA,NA
spiny dogfish,4,amax,NA,NA,0.07714285714285715,NA,NA
spiny dogfish,5,amax,NA,NA,0.08181818181818182,NA,NA
spiny dogfish,1,fishlife,0.10626397023071905,0.10626397023071905,0.10626397023071905,0.10626397023071905,0.10626397023071905
spiny dogfish,1,frisk_tmat,NA,0.05632533513574405,0.057175528873642086,0.07047216349541931,NA
spiny dogfish,2,frisk_tmat,NA,0.0564652738565782,0.0683526999316473,NA,NA
spiny dogfish,3,frisk_tmat,NA,NA,0.05941770647653,NA,NA
spiny dogfish,4,frisk_tmat,NA,NA,0.0777000777000777,NA,NA
spiny dogfish,1,gsi,NA,0.07268,NA,NA,NA
